GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
28031,050,28,031,99999,999,,,Covington County,19568,8496,19407,8083,19568,19407
28121,050,28,121,27140,298,,,Rankin County,141617,56487,115327,45070,141617,115327
28007,050,28,007,99999,999,,,Attala County,19564,9126,19661,8639,19564,19661
28083,050,28,083,24900,999,,,Leflore County,32317,13199,37947,14097,32317,37947
28099,050,28,099,99999,999,,,Neshoba County,29676,12357,28684,11980,29676,28684
28109,050,28,109,38100,999,,,Pearl River County,55834,23968,48621,20610,55834,48621
28119,050,28,119,99999,999,,,Quitman County,8223,3589,10117,3923,8223,10117
28127,050,28,127,27140,298,,,Simpson County,27503,11934,27639,11307,27503,27639
28005,050,28,005,32620,999,,,Amite County,13131,6635,13599,6446,13131,13599
28029,050,28,029,27140,298,,,Copiah County,29449,12184,28757,11101,29449,28757
28035,050,28,035,25620,999,,,Forrest County,74934,32289,72604,29913,74934,72604
28045,050,28,045,25060,274,,,Hancock County,43929,21840,42967,21072,43929,42967
28125,050,28,125,99999,999,,,Sharkey County,4916,2100,6580,2416,4916,6580
28137,050,28,137,32820,999,,,Tate County,28886,10947,25370,9354,28886,25370
28149,050,28,149,46980,999,,,Warren County,48773,21896,49644,20789,48773,49644
28157,050,28,157,99999,999,,,Wilkinson County,9878,5037,10312,5106,9878,10312
28017,050,28,017,99999,999,,,Chickasaw County,17392,7514,19440,7981,17392,19440
28067,050,28,067,29860,999,,,Jones County,67761,28424,64958,26921,67761,64958
28097,050,28,097,99999,999,,,Montgomery County,10925,5194,12189,5402,10925,12189
28117,050,28,117,99999,999,,,Prentiss County,25276,11054,25556,10681,25276,25556
28059,050,28,059,37700,274,,,Jackson County,139668,60067,131420,51678,139668,131420
28075,050,28,075,32940,999,,,Lauderdale County,80261,34698,78161,33418,80261,78161
28089,050,28,089,27140,298,,,Madison County,95203,38558,74674,28781,95203,74674
28107,050,28,107,99999,999,,,Panola County,34707,14697,34274,13736,34707,34274
28135,050,28,135,99999,999,,,Tallahatchie County,15378,5530,14903,5711,15378,14903
28147,050,28,147,99999,999,,,Walthall County,15443,7132,15156,6418,15443,15156
28155,050,28,155,99999,999,,,Webster County,10253,4804,10294,4344,10253,10294
28003,050,28,003,18420,999,,,Alcorn County,37057,17077,34558,15818,37057,34558
28015,050,28,015,24900,999,,,Carroll County,10597,5052,10769,4888,10597,10769
28043,050,28,043,24980,999,,,Grenada County,21906,10155,23263,9973,21906,23263
28065,050,28,065,99999,999,,,Jefferson Davis County,12487,5876,13962,5891,12487,13962
28123,050,28,123,99999,999,,,Scott County,28264,11470,28423,11116,28264,28423
28027,050,28,027,17260,999,,,Coahoma County,26151,10792,30622,11490,26151,30622
28041,050,28,041,99999,999,,,Greene County,14400,5123,13299,4947,14400,13299
28057,050,28,057,46180,999,,,Itawamba County,23401,10126,22770,9804,23401,22770
28063,050,28,063,99999,999,,,Jefferson County,7726,3673,9740,3819,7726,9740
28073,050,28,073,25620,999,,,Lamar County,55658,24070,39070,15433,55658,39070
28095,050,28,095,99999,999,,,Monroe County,36989,16455,38014,16236,36989,38014
28115,050,28,115,46180,999,,,Pontotoc County,29957,12440,26726,10816,29957,26726
28153,050,28,153,99999,999,,,Wayne County,20747,9213,21216,9049,20747,21216
28001,050,28,001,35020,999,,,Adams County,32297,14656,34340,15175,32297,34340
28145,050,28,145,99999,999,,,Union County,27134,11520,25362,10693,27134,25362
28013,050,28,013,99999,999,,,Calhoun County,14962,6913,15069,6902,14962,15069
28025,050,28,025,48500,200,,,Clay County,20634,9180,21979,8810,20634,21979
28055,050,28,055,99999,999,,,Issaquena County,1406,560,2274,877,1406,2274
28081,050,28,081,46180,999,,,Lee County,82910,35872,75755,31887,82910,75755
28105,050,28,105,44260,999,,,Oktibbeha County,47671,20947,42902,17344,47671,42902
28133,050,28,133,26940,999,,,Sunflower County,29450,9685,34369,10338,29450,34369
28039,050,28,039,37700,274,,,George County,22578,9330,19144,7513,22578,19144
28053,050,28,053,99999,999,,,Humphreys County,9375,3855,11206,4138,9375,11206
28061,050,28,061,29860,999,,,Jasper County,17062,8212,18149,7671,17062,18149
28079,050,28,079,99999,999,,,Leake County,23805,9415,20940,8585,23805,20940
28087,050,28,087,18060,200,,,Lowndes County,59779,26556,61586,25104,59779,61586
28093,050,28,093,32820,999,,,Marshall County,37144,14881,34993,13252,37144,34993
28103,050,28,103,99999,999,,,Noxubee County,11545,5170,12548,5228,11545,12548
28113,050,28,113,32620,999,,,Pike County,40404,17861,38940,16720,40404,38940
28143,050,28,143,32820,999,,,Tunica County,10778,4803,9227,3705,10778,9227
28163,050,28,163,49540,298,,,Yazoo County,28065,10074,28149,10015,28065,28149
28011,050,28,011,17380,999,,,Bolivar County,34145,14070,40633,14939,34145,40633
28023,050,28,023,32940,999,,,Clarke County,16732,7876,17955,8100,16732,17955
28131,050,28,131,25060,274,,,Stone County,17786,7161,13622,5343,17786,13622
28033,050,28,033,32820,999,,,DeSoto County,161252,61634,107199,40795,161252,107199
28037,050,28,037,99999,999,,,Franklin County,8118,4154,8448,4119,8118,8448
28071,050,28,071,37060,999,,,Lafayette County,47351,22729,38744,16587,47351,38744
28077,050,28,077,99999,999,,,Lawrence County,12929,6019,13258,5688,12929,13258
28111,050,28,111,25620,999,,,Perry County,12250,5519,12138,5107,12250,12138
28141,050,28,141,99999,999,,,Tishomingo County,19593,10295,19163,9553,19593,19163
28161,050,28,161,99999,999,,,Yalobusha County,12678,6344,13051,6224,12678,13051
28009,050,28,009,99999,999,,,Benton County,8729,4186,8026,3456,8729,8026
28021,050,28,021,99999,999,,,Claiborne County,9604,4223,11831,4252,9604,11831
28051,050,28,051,99999,999,,,Holmes County,19198,8415,21609,8439,19198,21609
28069,050,28,069,32940,999,,,Kemper County,10456,4722,10453,4533,10456,10453
28085,050,28,085,15020,999,,,Lincoln County,34869,15255,33166,14052,34869,33166
28091,050,28,091,99999,999,,,Marion County,27088,11838,25595,10395,27088,25595
28101,050,28,101,99999,999,,,Newton County,21720,9373,21838,9259,21720,21838
28129,050,28,129,99999,999,,,Smith County,16491,7237,16182,7005,16491,16182
28151,050,28,151,24740,999,,,Washington County,51137,21708,62977,24381,51137,62977
28047,050,28,047,25060,274,,,Harrison County,187105,85181,189601,79636,187105,189601
28019,050,28,019,99999,999,,,Choctaw County,8547,4150,9758,4249,8547,9758
28139,050,28,139,99999,999,,,Tippah County,22232,9696,20826,8868,22232,20826
28159,050,28,159,99999,999,,,Winston County,19198,8745,20160,8472,19198,20160
28049,050,28,049,27140,298,,,Hinds County,245285,103421,250800,100287,245285,250800
